activity_ts,activity_type,active_Kcal,step_count,distance_m,duration_s,active_time_s,start_time_s,start_time_offset_s,met,intensity,motion_intensity_mean,motion_intensity_max
02/10/2023 01:15,SEDENTARY,0,0,0,900,900,1696205700,3600,1,SEDENTARY,0,3
02/10/2023 01:30,SEDENTARY,0,0,0,900,900,1696206600,3600,1,SEDENTARY,0,0
02/10/2023 01:45,SEDENTARY,0,0,0,900,900,1696207500,3600,1,SEDENTARY,0,3
02/10/2023 02:00,SEDENTARY,0,0,0,900,900,1696208400,3600,1,SEDENTARY,0,2
02/10/2023 02:15,SEDENTARY,0,0,0,900,900,1696209300,3600,1,SEDENTARY,0,3
02/10/2023 02:30,SEDENTARY,0,0,0,900,900,1696210200,3600,1,SEDENTARY,0,4
02/10/2023 02:45,SEDENTARY,0,0,0,900,900,1696211100,3600,1,SEDENTARY,0,3
02/10/2023 03:00,SEDENTARY,0,0,0,900,900,1696212000,3600,1,SEDENTARY,0,3
02/10/2023 03:15,SEDENTARY,0,0,0,900,900,1696212900,3600,1,SEDENTARY,0,2
02/10/2023 03:30,WALKING,0,9,6.49,900,60,1696213800,3600,1,ACTIVE,2,2
02/10/2023 03:30,SEDENTARY,0,0,0,900,840,1696213800,3600,1,SEDENTARY,0,5
02/10/2023 03:45,SEDENTARY,0,0,0,900,900,1696214700,3600,1,SEDENTARY,0,0
02/10/2023 04:00,SEDENTARY,0,0,0,900,900,1696215600,3600,1,SEDENTARY,0,2
02/10/2023 04:15,SEDENTARY,0,0,0,900,900,1696216500,3600,1,SEDENTARY,0,4
02/10/2023 04:30,SEDENTARY,0,0,0,900,900,1696217400,3600,1,SEDENTARY,0,4
02/10/2023 04:45,SEDENTARY,0,0,0,900,900,1696218300,3600,1,SEDENTARY,0,3
02/10/2023 05:00,SEDENTARY,0,0,0,900,900,1696219200,3600,1,SEDENTARY,0,2
02/10/2023 05:15,SEDENTARY,0,0,0,900,900,1696220100,3600,1,SEDENTARY,0,4
02/10/2023 05:30,SEDENTARY,0,0,0,900,900,1696221000,3600,1,SEDENTARY,0,2
02/10/2023 05:45,WALKING,1,13,9.37,900,60,1696221900,3600,1.8801957,ACTIVE,4,4
02/10/2023 05:45,SEDENTARY,0,0,0,900,840,1696221900,3600,1,SEDENTARY,0,5
13/10/2023 05:45,SEDENTARY,0,0,0,900,900,1697172300,3600,1,SEDENTARY,0,0
13/10/2023 06:00,SEDENTARY,0,0,0,900,900,1697173200,3600,1,SEDENTARY,0,0
13/10/2023 06:15,SEDENTARY,0,0,0,900,900,1697174100,3600,1,SEDENTARY,0,1
13/10/2023 06:30,SEDENTARY,0,0,0,900,900,1697175000,3600,1,SEDENTARY,0,2
13/10/2023 06:45,WALKING,1,11,7.93,900,60,1697175900,3600,1.8801957,ACTIVE,4,4
13/10/2023 06:45,SEDENTARY,0,0,0,900,840,1697175900,3600,1,SEDENTARY,0,4
13/10/2023 07:00,SEDENTARY,0,0,0,900,900,1697176800,3600,1,SEDENTARY,0,4
13/10/2023 07:15,WALKING,12,74,53.35,900,240,1697177700,3600,3.6405869,ACTIVE,2.8,4
13/10/2023 07:15,GENERIC,11,0,0,900,0,1697177700,3600,1,SEDENTARY,0,7
13/10/2023 07:15,SEDENTARY,0,0,0,900,660,1697177700,3600,1,SEDENTARY,0,6
13/10/2023 07:30,WALKING,36,709,511.12,900,780,1697178600,3600,3.4374647,ACTIVE,2.5,3
13/10/2023 07:30,GENERIC,6,0,0,900,0,1697178600,3600,1,SEDENTARY,0,6
13/10/2023 07:45,WALKING,39,1022,736.76,900,660,1697179500,3600,4.1206937,ACTIVE,3,3
13/10/2023 07:45,GENERIC,7,0,0,900,0,1697179500,3600,1,SEDENTARY,0,4
13/10/2023 08:00,WALKING,6,141,101.65,900,180,1697180400,3600,2.760391,ACTIVE,2,2
13/10/2023 08:00,GENERIC,2,0,0,900,0,1697180400,3600,1,SEDENTARY,0,5
13/10/2023 08:00,SEDENTARY,0,0,0,900,720,1697180400,3600,1,SEDENTARY,0,4
13/10/2023 08:15,SEDENTARY,0,0,0,900,900,1697181300,3600,1,SEDENTARY,0,3
13/10/2023 08:30,WALKING,17,340,245.1,900,360,1697182200,3600,3.4938874,ACTIVE,2,2
13/10/2023 08:30,GENERIC,3,0,0,900,0,1697182200,3600,1,SEDENTARY,0,4
13/10/2023 08:30,SEDENTARY,0,0,0,900,540,1697182200,3600,1,SEDENTARY,0,4
13/10/2023 08:45,WALKING,24,573,413.08,900,420,1697183100,3600,4.0178137,ACTIVE,2,2
13/10/2023 08:45,SEDENTARY,0,0,0,900,480,1697183100,3600,1,SEDENTARY,0,3
13/10/2023 09:00,WALKING,16,161,116.07,900,360,1697184000,3600,3.3471882,ACTIVE,1.8,3
13/10/2023 09:00,GENERIC,13,0,0,900,0,1697184000,3600,1,SEDENTARY,0,6
13/10/2023 09:00,SEDENTARY,0,0,0,900,540,1697184000,3600,1,SEDENTARY,0,5
13/10/2023 09:15,GENERIC,1,0,0,900,0,1697184900,3600,1,SEDENTARY,0,3
13/10/2023 09:15,SEDENTARY,0,0,0,900,900,1697184900,3600,1,SEDENTARY,0,4
13/10/2023 09:30,SEDENTARY,0,0,0,900,900,1697185800,3600,1,SEDENTARY,0,3
13/10/2023 09:45,SEDENTARY,0,0,0,900,900,1697186700,3600,1,SEDENTARY,0,3
13/10/2023 10:00,WALKING,0,22,15.86,900,30,1697187600,3600,1,ACTIVE,2.5,4
13/10/2023 10:00,SEDENTARY,0,0,0,900,870,1697187600,3600,1,SEDENTARY,0,4
13/10/2023 10:15,WALKING,7,265,191.03,900,265,1697188500,3600,2.395027,ACTIVE,2,2
13/10/2023 10:15,SEDENTARY,0,0,0,900,635,1697188500,3600,1,SEDENTARY,0,6
13/10/2023 10:30,WALKING,11,335,241.51,900,255,1697189400,3600,3.2781534,ACTIVE,2.1,3
13/10/2023 10:30,SEDENTARY,0,0,0,900,645,1697189400,3600,1,SEDENTARY,0,5
13/10/2023 10:45,SEDENTARY,0,0,0,900,900,1697190300,3600,1,SEDENTARY,0,3
13/10/2023 11:00,WALKING,2,86,61.99,900,120,1697191200,3600,1.8801957,ACTIVE,3,3
13/10/2023 11:00,SEDENTARY,0,0,0,900,780,1697191200,3600,1,SEDENTARY,0,3
13/10/2023 11:15,WALKING,2,7,5.05,900,60,1697192100,3600,2.7603912,ACTIVE,2,2
13/10/2023 11:15,GENERIC,2,0,0,900,0,1697192100,3600,1,SEDENTARY,0,3
13/10/2023 11:15,SEDENTARY,0,0,0.01,900,840,1697192100,3600,1,SEDENTARY,0,3
13/10/2023 11:30,SEDENTARY,0,0,0,900,900,1697193000,3600,1,SEDENTARY,0,3
13/10/2023 11:45,WALKING,4,136,98.04,900,240,1697193900,3600,1.8801957,ACTIVE,2.5,3
13/10/2023 11:45,SEDENTARY,0,0,0,900,660,1697193900,3600,1,SEDENTARY,0,6
13/10/2023 12:00,SEDENTARY,0,0,0,900,900,1697194800,3600,1,SEDENTARY,0,3
13/10/2023 12:15,SEDENTARY,0,0,0,900,900,1697195700,3600,1,SEDENTARY,0,3
13/10/2023 12:30,SEDENTARY,0,0,0,900,900,1697196600,3600,1,SEDENTARY,0,2
13/10/2023 12:45,SEDENTARY,0,0,0,900,900,1697197500,3600,1,SEDENTARY,0,2
13/10/2023 13:00,WALKING,6,239,172.3,900,240,1697198400,3600,2.3202934,ACTIVE,2.2,3
13/10/2023 13:00,SEDENTARY,0,0,0,900,660,1697198400,3600,1,SEDENTARY,0,4
13/10/2023 13:15,WALKING,0,59,42.53,900,60,1697199300,3600,1,ACTIVE,5,5
13/10/2023 13:15,SEDENTARY,0,0,0,900,840,1697199300,3600,1,SEDENTARY,0,3
13/10/2023 13:30,SEDENTARY,0,0,0,900,900,1697200200,3600,1,SEDENTARY,0,3
13/10/2023 13:45,SEDENTARY,0,0,0,900,900,1697201100,3600,1,SEDENTARY,0,3
13/10/2023 14:00,WALKING,1,17,12.26,900,60,1697202000,3600,1.8801957,ACTIVE,2,2
13/10/2023 14:00,SEDENTARY,0,0,0,900,840,1697202000,3600,1,SEDENTARY,0,3
13/10/2023 14:15,SEDENTARY,0,0,0,900,900,1697202900,3600,1,SEDENTARY,0,3
13/10/2023 14:30,SEDENTARY,0,0,0,900,900,1697203800,3600,1,SEDENTARY,0,3
13/10/2023 14:45,WALKING,3,86,61.99,900,75,1697204700,3600,3.1124694,ACTIVE,2,2
13/10/2023 14:45,SEDENTARY,0,0,0,900,825,1697204700,3600,1,SEDENTARY,0,3
13/10/2023 15:00,WALKING,6,123,88.67,900,150,1697205600,3600,3.1124694,ACTIVE,1,1
13/10/2023 15:00,SEDENTARY,0,0,0,900,750,1697205600,3600,1,SEDENTARY,0,4
13/10/2023 15:15,SEDENTARY,0,0,0,900,900,1697206500,3600,1,SEDENTARY,0,3
13/10/2023 15:30,WALKING,1,28,20.19,900,30,1697207400,3600,2.7603912,ACTIVE,3,3
13/10/2023 15:30,SEDENTARY,0,0,0,900,870,1697207400,3600,1,SEDENTARY,0,3
13/10/2023 15:45,SEDENTARY,0,0,0,900,900,1697208300,3600,1,SEDENTARY,0,3
13/10/2023 16:00,WALKING,2,91,65.6,900,60,1697209200,3600,2.7603912,ACTIVE,3,3
13/10/2023 16:00,SEDENTARY,0,0,0,900,840,1697209200,3600,1,SEDENTARY,0,4
13/10/2023 16:15,WALKING,2,78,56.23,900,45,1697210100,3600,3.3471882,ACTIVE,2,2
13/10/2023 16:15,SEDENTARY,0,0,0,900,855,1697210100,3600,1,SEDENTARY,0,4
13/10/2023 16:30,SEDENTARY,0,0,0,900,900,1697211000,3600,1,SEDENTARY,0,3
13/10/2023 16:45,SEDENTARY,0,0,0,900,900,1697211900,3600,1,SEDENTARY,0,4
13/10/2023 17:00,SEDENTARY,0,0,0,900,900,1697212800,3600,1,SEDENTARY,0,4
13/10/2023 17:15,WALKING,6,200,144.18,900,135,1697213700,3600,3.347188,ACTIVE,2,2
13/10/2023 17:15,SEDENTARY,0,0,0,900,765,1697213700,3600,1,SEDENTARY,0,4
13/10/2023 17:30,WALKING,20,820,591.14,900,540,1697214600,3600,2.95599,ACTIVE,2,2
13/10/2023 17:30,SEDENTARY,0,0,0,900,360,1697214600,3600,1,SEDENTARY,0,4
13/10/2023 17:45,WALKING,9,278,200.41,900,240,1697215500,3600,2.9804401,ACTIVE,3,3
13/10/2023 17:45,SEDENTARY,0,0,0,900,660,1697215500,3600,1,SEDENTARY,0,3
13/10/2023 18:00,SEDENTARY,0,0,0,900,900,1697216400,3600,1,SEDENTARY,0,3
13/10/2023 18:15,WALKING,23,736,530.58,900,600,1697217300,3600,3.02445,ACTIVE,2,2
13/10/2023 18:15,SEDENTARY,0,0,0,900,300,1697217300,3600,1,SEDENTARY,0,3
13/10/2023 18:30,WALKING,17,683,492.38,900,660,1697218200,3600,2.3603024,ACTIVE,2,2
13/10/2023 18:30,SEDENTARY,0,0,0,900,240,1697218200,3600,1,SEDENTARY,0,4
13/10/2023 18:45,WALKING,38,964,694.94,900,840,1697219100,3600,3.3891022,ACTIVE,2.6,3
13/10/2023 18:45,SEDENTARY,0,0,0,900,60,1697219100,3600,1,SEDENTARY,0,6
13/10/2023 19:00,WALKING,5,215,155,900,600,1697220000,3600,1.4400978,ACTIVE,2.1,3
13/10/2023 19:00,SEDENTARY,0,0,0,900,300,1697220000,3600,1,SEDENTARY,0,6
13/10/2023 19:15,WALKING,1,44,31.72,900,180,1697220900,3600,1.2933985,ACTIVE,2.7,4
